,index,variable,value
0,0,secondSundaysOfMarch,2019-03-10 02:00:00
22,0,firstSundaysOfNovember,2019-11-03 02:00:00
1,1,secondSundaysOfMarch,2020-03-08 02:00:00
23,1,firstSundaysOfNovember,2020-11-01 02:00:00
2,2,secondSundaysOfMarch,2021-03-14 02:00:00
24,2,firstSundaysOfNovember,2021-11-07 02:00:00
3,3,secondSundaysOfMarch,2022-03-13 02:00:00
25,3,firstSundaysOfNovember,2022-11-06 02:00:00
4,4,secondSundaysOfMarch,2023-03-12 02:00:00
26,4,firstSundaysOfNovember,2023-11-05 02:00:00
5,5,secondSundaysOfMarch,2024-03-10 02:00:00
27,5,firstSundaysOfNovember,2024-11-03 02:00:00
6,6,secondSundaysOfMarch,2025-03-09 02:00:00
28,6,firstSundaysOfNovember,2025-11-02 02:00:00
7,7,secondSundaysOfMarch,2026-03-08 02:00:00
29,7,firstSundaysOfNovember,2026-11-01 02:00:00
8,8,secondSundaysOfMarch,2027-03-14 02:00:00
30,8,firstSundaysOfNovember,2027-11-07 02:00:00
9,9,secondSundaysOfMarch,2028-03-12 02:00:00
31,9,firstSundaysOfNovember,2028-11-05 02:00:00
10,10,secondSundaysOfMarch,2029-03-11 02:00:00
32,10,firstSundaysOfNovember,2029-11-04 02:00:00
11,11,secondSundaysOfMarch,2030-03-10 02:00:00
33,11,firstSundaysOfNovember,2030-11-03 02:00:00
12,12,secondSundaysOfMarch,2031-03-09 02:00:00
34,12,firstSundaysOfNovember,2031-11-02 02:00:00
13,13,secondSundaysOfMarch,2032-03-14 02:00:00
35,13,firstSundaysOfNovember,2032-11-07 02:00:00
14,14,secondSundaysOfMarch,2033-03-13 02:00:00
36,14,firstSundaysOfNovember,2033-11-06 02:00:00
15,15,secondSundaysOfMarch,2034-03-12 02:00:00
37,15,firstSundaysOfNovember,2034-11-05 02:00:00
16,16,secondSundaysOfMarch,2035-03-11 02:00:00
38,16,firstSundaysOfNovember,2035-11-04 02:00:00
17,17,secondSundaysOfMarch,2036-03-09 02:00:00
39,17,firstSundaysOfNovember,2036-11-02 02:00:00
18,18,secondSundaysOfMarch,2037-03-08 02:00:00
40,18,firstSundaysOfNovember,2037-11-01 02:00:00
19,19,secondSundaysOfMarch,2038-03-14 02:00:00
41,19,firstSundaysOfNovember,2038-11-07 02:00:00
20,20,secondSundaysOfMarch,2039-03-13 02:00:00
42,20,firstSundaysOfNovember,2039-11-06 02:00:00
21,21,secondSundaysOfMarch,2040-03-11 02:00:00
43,21,firstSundaysOfNovember,2040-11-04 02:00:00
