,secondSundaysOfMarch,firstSundaysOfNovember
0,2019-03-10 02:00:00,2019-11-03 02:00:00
1,2020-03-08 02:00:00,2020-11-01 02:00:00
2,2021-03-14 02:00:00,2021-11-07 02:00:00
3,2022-03-13 02:00:00,2022-11-06 02:00:00
4,2023-03-12 02:00:00,2023-11-05 02:00:00
5,2024-03-10 02:00:00,2024-11-03 02:00:00
6,2025-03-09 02:00:00,2025-11-02 02:00:00
7,2026-03-08 02:00:00,2026-11-01 02:00:00
8,2027-03-14 02:00:00,2027-11-07 02:00:00
9,2028-03-12 02:00:00,2028-11-05 02:00:00
10,2029-03-11 02:00:00,2029-11-04 02:00:00
11,2030-03-10 02:00:00,2030-11-03 02:00:00
12,2031-03-09 02:00:00,2031-11-02 02:00:00
13,2032-03-14 02:00:00,2032-11-07 02:00:00
14,2033-03-13 02:00:00,2033-11-06 02:00:00
15,2034-03-12 02:00:00,2034-11-05 02:00:00
16,2035-03-11 02:00:00,2035-11-04 02:00:00
17,2036-03-09 02:00:00,2036-11-02 02:00:00
18,2037-03-08 02:00:00,2037-11-01 02:00:00
19,2038-03-14 02:00:00,2038-11-07 02:00:00
20,2039-03-13 02:00:00,2039-11-06 02:00:00
21,2040-03-11 02:00:00,2040-11-04 02:00:00
